;timepoints;ori_vec;Max_Vec_length;av_vect;av_vect_length;ori_vec_deg;deg_variance;DGI;y_spread;x_spread
0;37.0;[-1547799   660576 -1211773];4777549.486674261;[-12.88232944   5.49797335 -10.0855854 ];17.25981331308787;288.574766757726;11394.094713872993;0.4340612934598338;154;106
1;37.25;[-1484138  1676515  -397093];4644262.519936435;[-12.75317511  14.40626772  -3.41221407];19.5403999418575;317.4981497946046;14227.052566543854;0.48963522046226804;150;92
2;37.5;[-1609754  2962254  -220589];5651675.498001826;[-12.16239658  22.38112652  -1.66664652];25.526778594739017;331.25521167988717;16071.624021679983;0.597804453228286;199;109
3;37.75;[-1161308  1213007  -138208];5479494.358661594;[-8.49201114  8.8700577  -1.01063962];12.321264920142026;316.04608470635276;13130.83560018432;0.30750464027044794;221;96
4;38.0;[-1201371  3382783   202221];5341058.576098274;[-10.04222114  28.27657316   1.69035877];30.054419106423794;19.80591864131525;16801.90213551793;0.6731755915633933;201;92
5;38.25;[-1210517  3313812  -413613];5642056.900248739;[-9.42029245 25.78821955 -3.21875316];27.642983723565703;338.89194184599546;16798.552596618592;0.6295844076484437;238;125
6;38.5;[-1145642  2966187  -616015];5271555.9407285135;[-9.47931853 24.54294745 -5.09705685];26.799136888388468;336.3211800704237;16271.02720283285;0.614403664370934;190;103
7;38.75;[-1125305  1841044  -643672];4614040.235566404;[-9.8395065  16.09782628 -5.62817621];19.688378967104057;324.8483324041946;14615.348101158193;0.4880063965622124;220;88
8;39.0;[-1233816  1584382  -876650];5579997.998132338;[-8.97993406 11.53141626 -6.38041588];15.947491446584078;316.3099016183867;12896.001316843154;0.392677109027584;230;100
9;39.25;[-1176657  1205124  -445219];5640106.192853612;[-8.65653623  8.86596482 -3.27542725];12.816761499740242;313.76861127566207;13055.874898532647;0.3088849537234961;219;80
10;39.5;[-1329044  2823162  -579472];5773896.276862506;[-10.13292061  21.52440131  -4.4180206 ];24.197000594656764;332.8165441664836;15305.768781666327;0.5496639778088191;223;94
11;39.75;[-1346326  4028429 -1169304];6812221.972413138;[-9.48744944 28.38801037 -8.23998985];31.044939403305392;336.123023025271;15900.325705008345;0.6466998857062901;231;96
12;40.0;[-1565188  5149928 -1747016];7482143.156673963;[-11.03947638  36.32311805 -12.32193312];39.913268210732824;335.5124293920488;15356.194444768595;0.7563264911789633;222;109
13;40.25;[-1570283  5579014 -1416886];7784642.772364778;[-10.90845496  38.7563407   -9.84283541];41.44791602618823;339.23804463422283;16307.512441288558;0.7664409446078357;214;107
14;40.5;[-1425125  5407543 -1167935];7444374.264978273;[-10.37828253  39.37970987  -8.50533069];41.6030160910819;341.18396160574963;16410.86648080009;0.7674040503942687;240;93
15;40.75;[-1274280  4059210  -853970];5907527.510332245;[-10.92433517  34.79939304  -7.32103973];37.20129671361399;339.29852769373576;16603.467470496234;0.7345513751508821;213;78
16;41.0;[-1328404  4444864  -715147];6178320.42889684;[-10.84933968  36.30208835  -5.84074779];38.336198625290706;341.2517986558036;17545.545785612005;0.7597408632166615;197;97
17;41.25;[-1332057  3326723  -653012];5669591.768572216;[-10.98748701  27.44051174  -5.38637676];30.045292639230002;335.96612997586135;16053.393763140395;0.6424644236319876;200;90
18;41.5;[-1363905  3100246  -643465];5360889.347275673;[-11.52511365  26.19734329  -5.43733417];29.132347025154;334.06001826202686;15667.784328260099;0.6430985585260747;204;95
19;41.75;[-1315148  3032418  -678222];5474905.942475067;[-11.01713118  25.40288005  -5.68153603];28.265939675346058;333.9890051727253;15893.355709133928;0.6163010017556024;227;79
20;42.0;[-1314842  2807988  -533115];5471416.091300359;[-10.40321866  22.21720416  -4.21808241];24.892234504697345;333.1936125314243;15665.132984336404;0.575002829629793;176;91
21;42.25;[-1247192  3288009  -178923];5558324.331655136;[-9.37759498 24.72242983 -1.34531606];26.47541689254814;339.0332314735088;16660.710965323855;0.6334914643978162;173;88
22;42.5;[-1177319  3377538  -328921];5458690.87054608;[-9.25790877 26.55944452 -2.58648727];28.245404658006535;340.1037302578492;17310.54507094604;0.6580222163404356;171;85
